レベル,カテゴリ,サブカテゴリ,学習項目,説明,スキル1,スキル2,スキル3,スキル4
エキスパートレベル,イノベーション,オープンイノベーション,産学官連携の推進,異業種・異分野との連携による革新的価値創出,パートナーシップ,共創プラットフォーム,知財管理,利益分配
エキスパートレベル,イノベーション,社会課題解決,ソーシャルイノベーション,社会課題を解決する持続可能なビジネスモデルの構築,社会課題理解,ソーシャルビジネス,インパクト投資,社会価値測定
金融業界,銀行,デジタル変革,デジタルバンキング戦略,顧客体験向上とコスト削減を実現するデジタル化推進,デジタル戦略,UXデザイン,システム統合,データ活用
金融業界,銀行,オープン化,オープンバンキング・API戦略,第三者との連携を可能にするオープンプラットフォーム構築,API設計,パートナーシップ,セキュリティ,収益モデル
金融業界,銀行,新技術連携,フィンテック連携・競合分析,フィンテック企業との協業と競争戦略,フィンテック理解,連携戦略,競合分析,投資判断
金融業界,銀行,規制対応,規制対応（バーゼルIII・IFRS等）,金融規制の変化に対する適切な対応と経営への影響分析,規制理解,リスク管理,財務戦略,コンプライアンス
金融業界,証券,資産管理,ウェルスマネジメント戦略,富裕層向け包括的資産管理サービスの高度化,資産運用,ポートフォリオ,顧客セグメント,手数料体系
金融業界,証券,自動化投資,ロボアドバイザー導入,AIを活用した投資助言サービスの構築と差別化,AI投資,アルゴリズム,顧客体験,規制対応
金融業界,証券,高頻度取引,HFT・アルゴリズム取引,高速取引システムによる競争力強化とリスク管理,取引システム,アルゴリズム,リスク管理,市場分析
金融業界,証券,責任投資,ESG投資・責任投資,環境・社会・ガバナンス要素を考慮した投資戦略,ESG評価,責任投資,インパクト測定,投資方針
金融業界,保険,新技術活用,インシュアテック活用,保険業界のデジタル変革と新技術導入,保険テック,デジタル化,業務効率化,新商品開発
金融業界,保険,データ活用,テレマティクス保険,自動車保険における走行データ活用と個別化,テレマティクス,データ分析,リスク評価,料金設定
金融業界,保険,AI導入,AI査定・自動化,人工知能による保険査定の自動化と精度向上,AI査定,機械学習,業務自動化,品質管理
金融業界,保険,顧客体験,顧客体験（CX）向上,保険サービス全体での顧客満足度向上,CX設計,カスタマージャーニー,デジタル化,サービス改善
製造業,自動車,次世代モビリティ,CASE（Connected・Autonomous・Shared・Electric）対応,自動車産業の変革に対応した戦略立案,コネクテッド,自動運転,シェアリング,電動化
製造業,自動車,電動化戦略,EV・電動化戦略,電気自動車への転換と新たなバリューチェーン構築,EV技術,バッテリー,充電インフラ,サプライチェーン
製造業,自動車,自動運転,自動運転技術開発,自動運転システムの開発と社会実装,センサー技術,AI制御,安全基準,法制度対応
製造業,自動車,新事業,モビリティサービス事業,移動サービスプラットフォームの構築と運営,MaaS,シェアリング,データプラットフォーム,収益モデル
製造業,産業機械,スマート化,Industry 4.0・スマートファクトリー,製造現場のデジタル化と自動化推進,IoT導入,データ分析,自動化,品質管理
製造業,産業機械,デジタルツイン,IoT・デジタルツイン活用,物理とデジタルの融合による生産性向上,デジタルツイン,IoTセンサー,予測分析,最適化
製造業,産業機械,予防保全,予防保全・予知保全,設備故障の予測と予防による稼働率向上,状態監視,予測モデル,メンテナンス計画,コスト削減
製造業,産業機械,サービス化,サービス化（as-a-Service）,製品販売からサービス提供への事業モデル転換,サービス設計,継続課金,顧客関係,価値提供
製造業,素材・化学,循環経済,サーキュラーエコノミー対応,廃棄物削減と資源循環による持続可能な事業,循環設計,廃棄物削減,再資源化,ライフサイクル
製造業,素材・化学,新素材開発,バイオマテリアル開発,生物由来材料による環境負荷低減と新価値創出,バイオ材料,持続可能性,性能評価,商業化
製造業,素材・化学,プロセス改善,プロセス自動化・DX,製造プロセスのデジタル化による効率化と品質向上,プロセス最適化,自動化,データ活用,品質管理
製造業,素材・化学,環境対応,安全管理・環境対応,化学物質の安全管理と環境規制への対応,安全基準,環境規制,リスク評価,持続可能性
サービス業,リテール,統合戦略,オムニチャネル戦略,オンラインとオフラインを統合した顧客体験の提供,チャネル統合,在庫連携,顧客データ,体験設計
サービス業,リテール,直販強化,D2C・EC強化,消費者への直接販売チャネルの構築と拡大,EC構築,ブランド構築,顧客獲得,物流最適化
サービス業,リテール,デジタル化,店舗デジタル化,実店舗でのデジタル技術活用による付加価値向上,デジタル体験,決済システム,在庫管理,スタッフ支援
サービス業,リテール,個別化,パーソナライゼーション,顧客一人ひとりに最適化された商品・サービス提供,顧客分析,レコメンド,個別化,データ活用
サービス業,旅行・ホスピタリティ,コロナ対応,ポストコロナ戦略,パンデミック後の新しい旅行・宿泊様式への対応,安全対策,需要予測,事業再構築,新サービス
サービス業,旅行・ホスピタリティ,非接触化,非接触・デジタル化,タッチレス技術による安全で快適な顧客体験,非接触技術,デジタルチェックイン,モバイル決済,自動化
サービス業,旅行・ホスピタリティ,動的価格,動的価格設定,需要に応じた最適な価格設定による収益最大化,価格最適化,需要予測,収益管理,競合分析
サービス業,旅行・ホスピタリティ,体験価値,体験価値向上,単なる宿泊・移動を超えた特別な体験の提供,体験設計,顧客満足,差別化,ブランド価値
テクノロジー,ソフトウェア・プラットフォーム,SaaS戦略,SaaS事業戦略,クラウドベースのソフトウェアサービス事業の構築,SaaSモデル,継続課金,顧客成功,解約率管理
テクノロジー,ソフトウェア・プラットフォーム,プラットフォーム,プラットフォーム戦略,多面市場でのネットワーク効果を活用した事業成長,ネットワーク効果,エコシステム,マッチング,収益分配
テクノロジー,ソフトウェア・プラットフォーム,API経済,API経済・エコシステム,APIを通じた外部連携とパートナーエコシステム構築,API設計,開発者支援,収益モデル,パートナーシップ
テクノロジー,ソフトウェア・プラットフォーム,セキュリティ,セキュリティ・プライバシー,情報セキュリティとプライバシー保護の高度化,セキュリティ設計,プライバシー保護,脅威対策,コンプライアンス
テクノロジー,通信・メディア,5G活用,5G活用戦略,第5世代移動通信技術を活用した新サービス創出,5G技術,低遅延,大容量,同時接続
テクノロジー,通信・メディア,コンテンツ戦略,ストリーミング・コンテンツ戦略,動画配信プラットフォームでの競争優位性確立,コンテンツ制作,配信技術,契約管理,視聴者分析
テクノロジー,通信・メディア,XR活用,メタバース・XR活用,仮想現実技術を活用した新しいコミュニケーション空間構築,VR技術,AR技術,3D空間,ユーザー体験
テクノロジー,通信・メディア,広告変革,広告モデル変革,デジタル広告の進化に対応した新しい収益モデル,アドテック,プログラマティック,プライバシー対応,効果測定
ヘルスケア,医療・病院,医療DX,医療DX・電子カルテ活用戦略,医療現場のデジタル変革を推進し効率性と質の向上を実現,電子カルテシステム,医療情報連携,ワークフロー最適化,セキュリティ対策
ヘルスケア,医療・病院,遠隔医療,遠隔医療・オンライン診療,地理的制約を超えた医療サービス提供モデルの構築,遠隔診療システム,医療機器連携,診療報酬制度,患者エクスペリエンス
ヘルスケア,医療・病院,AI診断,AI診断支援・医療AI活用,人工知能を活用した診断精度向上と医師の意思決定支援,画像診断AI,機械学習モデル,診断アルゴリズム,精度評価手法
ヘルスケア,医療・病院,医療機器,医療機器管理最適化,医療機器の効率的運用と保守管理体制の構築,機器管理,保守計画,稼働率向上,コスト最適化
ヘルスケア,製薬・ライフサイエンス,デジタル創薬,デジタル創薬・個別化医療,データドリブンな創薬プロセスと患者個人に最適化された治療,バイオインフォマティクス,ゲノム解析,分子標的薬,コンパニオン診断
ヘルスケア,製薬・ライフサイエンス,臨床試験,臨床試験効率化,臨床試験プロセスのデジタル化による期間短縮と品質向上,デジタル治験,リモート治験,データ収集,規制対応
ヘルスケア,製薬・ライフサイエンス,バイオ医薬,バイオ医薬品開発,生物学的製剤による革新的治療法の開発,バイオテクノロジー,抗体医薬,細胞治療,遺伝子治療
ヘルスケア,製薬・ライフサイエンス,希少疾病,希少疾病薬戦略,希少疾病に対する治療薬開発と事業化戦略,オーファンドラッグ,規制優遇,市場アクセス,価格戦略
ヘルスケア,地域医療,医療連携,地域医療連携・医療安全,地域全体での医療提供体制の最適化と患者安全の確保,地域包括ケア,医療連携ネットワーク,リスクマネジメント,品質管理
ヘルスケア,地域医療,働き方改革,医療経営・働き方改革,持続可能な医療経営と医療従事者の働き方改善,診療報酬最適化,人材確保・育成,業務効率化,タスクシフティング
エネルギー,電力・ガス,再生可能エネルギー,再生可能エネルギー導入,太陽光・風力等の再エネ電源の大量導入と系統安定化,再エネ技術,系統安定化,蓄電技術,電力取引
エネルギー,電力・ガス,スマートグリッド,スマートグリッド構築,ITを活用した次世代電力網の構築と運用,電力システム,需給調整,分散電源,デマンドレスポンス
エネルギー,電力・ガス,エネルギー貯蔵,エネルギー貯蔵システム,蓄電池等による電力の時間シフトと安定供給,蓄電技術,電力平準化,需給調整,コスト最適化
エネルギー,電力・ガス,脱炭素,脱炭素・カーボンニュートラル,温室効果ガス排出量実質ゼロに向けた事業変革,排出削減,カーボンオフセット,環境価値,制度対応
エネルギー,石油・ガス,エネルギー転換,エネルギー転換戦略,化石燃料から再生可能エネルギーへの事業転換,事業転換,新エネルギー,投資配分,リスク管理
エネルギー,石油・ガス,水素事業,水素事業参入,水素製造・供給・利用の一貫したバリューチェーン構築,水素製造,水素供給,水素利用,安全管理
エネルギー,石油・ガス,CCUS,CCUS（CO2回収・利用・貯留）,二酸化炭素の回収・有効利用・地下貯留技術の事業化,CO2回収,CO2利用,CO2貯留,技術開発
エネルギー,石油・ガス,デジタル化,デジタル油田・スマート保安,IoT・AIを活用した石油・ガス事業の高度化,IoT活用,AI予測,保安管理,効率化
公共・社会インフラ,公共サービス,行政DX,行政DX・デジタル化,行政手続きのデジタル化による住民サービス向上,電子申請,デジタル化,業務効率化,住民サービス
公共・社会インフラ,公共サービス,マイナンバー,マイナンバー活用,マイナンバー制度を活用した行政サービスの高度化,個人番号,認証基盤,情報連携,プライバシー保護
公共・社会インフラ,公共サービス,オープンデータ,オープンデータ活用,行政データの公開と民間での利活用促進,データ公開,標準化,利活用促進,イノベーション
公共・社会インフラ,公共サービス,スマートシティ,スマートシティ構築,ICTを活用した持続可能で効率的な都市の実現,IoT活用,データ連携,住民参加,持続可能性
公共・社会インフラ,教育,EdTech,EdTech活用・デジタル教育,教育技術を活用した学習効果向上と教育格差解消,学習技術,個別化学習,オンライン教育,学習分析
公共・社会インフラ,教育,STEAM教育,STEAM教育推進,科学・技術・工学・芸術・数学の統合的教育による創造力育成,統合教育,創造力育成,問題解決力,実践的学習
公共・社会インフラ,教育,生涯学習,生涯学習・リカレント教育,社会人の継続的な学習とスキルアップ支援,継続学習,スキルアップ,キャリア開発,学習支援
公共・社会インフラ,教育,国際教育,国際教育・グローバル人材育成,グローバル社会で活躍できる人材の育成,国際理解,語学教育,異文化交流,グローバル視点
