id,category,subcategory,subcategory_display,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty,time_limit,related_topics,source
11,digital_technology,DX・IT戦略,DX・IT戦略,DXを成功させるために最も重要な要素は？,最新のITシステムの導入,組織文化の変革と人材育成,AIツールの大量投入,コストの大幅削減,組織文化の変革と人材育成,DXの成功には技術導入以上に、組織全体のマインドセット変革と従業員のデジタルスキル向上が不可欠です。文化的変革なしに技術だけを導入しても期待する効果は得られません。,中級,40,"組織変革, デジタルリテラシー, 変革管理",経済産業省 DX推進ガイドライン
12,analytical_problem_solving,論理的思考・分析,論理的思考・問題解決,プロスペクト理論における『損失回避性』とは？,利益を得る喜びより損失を被る痛みの方が大きく感じられる,確実な利益を好み、リスクを避ける傾向,過去の成功体験に固執する傾向,群衆の意見に従って行動する傾向,利益を得る喜びより損失を被る痛みの方が大きく感じられる,損失回避性とは、同じ金額であっても利益を得る喜びより損失を被る痛みの方が約2倍大きく感じられる心理的傾向です。この特性を理解することで、より効果的な意思決定や交渉が可能になります。,上級,50,"認知バイアス, リスク知覚, 意思決定理論",ダニエル・カーネマン『ファスト&スロー』
13,business_strategy,事業戦略・企画,事業戦略・企画,サプライチェーンレジリエンス向上のために最も効果的な施策は？,単一サプライヤーとの長期契約,マルチソーシング戦略の実施,在庫の完全ゼロ化,コスト削減の最優先,マルチソーシング戦略の実施,マルチソーシング戦略により、複数のサプライヤーから調達することで、特定のサプライヤーで問題が発生した際のリスクを分散できます。コロナ禍で重要性が再認識された戦略です。,中級,35,"リスク分散, BCP, 調達管理",日本ロジスティクスシステム協会
14,innovation_creativity,新規事業開発,新規事業開発,リーンスタートアップ手法の核となる概念は？,完璧な製品を作ってから市場投入,仮説構築→実験→学習のサイクル,大規模な市場調査の実施,競合他社の完全な模倣,仮説構築→実験→学習のサイクル,リーンスタートアップでは『構築→計測→学習』のサイクルを高速で回し、顧客からのフィードバックを基に製品やサービスを改善していきます。無駄を排除し、市場のニーズに合った製品開発を目指します。,中級,40,"MVP, 仮説検証, アジャイル開発",エリック・リース『リーン・スタートアップ』
15,leadership_management,チーム運営・人材育成,チームマネジメント・モチベーション,エンゲージメント向上に最も効果的な施策は？,給与の大幅アップのみ,成長機会の提供と目的意識の共有,労働時間の延長,厳格な業績評価制度,成長機会の提供と目的意識の共有,従業員エンゲージメント向上には、金銭的報酬以上に成長機会の提供、仕事の意味や目的の明確化、自律性の確保が重要です。内発的動機を高める環境作りが持続的な成果につながります。,中級,35,"モチベーション理論, キャリア開発, 組織心理学",ギャラップ社 エンゲージメント調査
16,analytical_problem_solving,財務・会計分析,財務・ファイナンス,DCF法による企業価値評価で最も重要な要素は？,現在の売上高,将来フリーキャッシュフローの予測精度,過去の利益実績,業界平均PER,将来フリーキャッシュフローの予測精度,DCF法では将来のフリーキャッシュフローを現在価値に割り戻して企業価値を算出するため、将来キャッシュフローの予測精度が評価結果に最も大きく影響します。割引率の設定も重要な要素です。,上級,50,"WACC, フリーキャッシュフロー, 現在価値計算",マッキンゼー バリュエーション教本
17,business_strategy,事業戦略・企画,事業戦略・企画,ESG投資において'G'（ガバナンス）で重視される要素は？,環境負荷の削減,社会貢献活動,取締役会の独立性と透明性,従業員の多様性,取締役会の独立性と透明性,ESGの'G'（ガバナンス）では、取締役会の独立性、透明性、説明責任、株主権利の保護などコーポレートガバナンスの質が評価されます。適切なガバナンスは長期的な企業価値向上の基盤となります。,中級,40,"コーポレートガバナンス, 取締役会, 株主還元",PRI（責任投資原則）ガイドライン
18,communication_presentation,交渉・調整,交渉・調整,Win-Winの交渉を実現するために最も重要なことは？,相手の弱点を徹底的に攻撃する,互いの真の利益・関心事を理解する,最初に高い条件を提示する,感情的な議論を優先する,互いの真の利益・関心事を理解する,Win-Win交渉では、表面的な要求ではなく、その背景にある真の利益や関心事（真の利害）を理解することが重要です。互いのニーズを満たす創造的な解決策を見つけることで、双方が満足できる結果を生み出せます。,中級,40,"利害関係分析, BATNA, 価値創造",ロジャー・フィッシャー『ハーバード流交渉術』
19,leadership_management,チーム運営・人材育成,チームマネジメント・モチベーション,多様性のあるチームで最高のパフォーマンスを引き出すには？,全員を同じ方法で管理する,個々の強みを活かし役割を明確化する,競争を煽って緊張感を作る,トップダウンで指示を出す,個々の強みを活かし役割を明確化する,多様性のあるチームでは、メンバーそれぞれの異なる強み、価値観、働き方を理解し、適材適所で役割を分担することが重要です。多様性を活かすことで、イノベーションと創造性が生まれやすくなります。,中級,35,"ダイバーシティ&インクルージョン, 強み発見, チームビルディング",マーカス・バッキンガム『最高のチーム』
20,crisis_risk_management,危機管理・BCP,危機管理・BCP,ブラックスワンイベント（想定外の危機）への対応で最も重要なのは？,完璧な予測システムの構築,組織の適応力と復元力の強化,リスクの完全な排除,過去のデータに基づく対策,組織の適応力と復元力の強化,ブラックスワンイベントは定義上予測困難なため、完璧な予測より組織の適応力（レジリエンス）と復元力を高めることが重要です。危機発生時に迅速に学習・適応・回復できる組織能力の構築が鍵となります。,上級,45,"レジリエンス, 危機対応, 組織学習",ナシーム・ニコラス・タレブ『ブラック・スワン』
21,communication_presentation,結論ファースト・構造化思考,結論ファースト・構造化思考,ピラミッドストラクチャーの基本原則として最も重要なのは？,細かい情報から積み上げて結論を導く,結論を最初に示し、根拠を論理的に整理する,時系列順に情報を並べる,感情に訴える表現を重視する,結論を最初に示し、根拠を論理的に整理する,ピラミッドストラクチャーでは結論を最初に示し、その根拠をMECE（漏れなく重複なく）で整理することで、相手に分かりやすく効果的に伝えることができます。,基礎,30,"MECE, ロジックツリー, 結論ファースト",バーバラ・ミント『考える技術・書く技術』
22,communication_presentation,結論ファースト・構造化思考,結論ファースト・構造化思考,MECE（ミーシー）の原則に従った分類として適切なのは？,売上：国内・海外・アジア・欧州,売上：商品A・商品B・その他商品,顧客：新規・既存・VIP・一般,年齢：10代・20代・30代・40代以上,年齢：10代・20代・30代・40代以上,MECEは『漏れなく重複なく』の原則です。年齢の分類は重複がなく、全ての年齢層をカバーしています。他の選択肢は重複や漏れがあります。,基礎,35,"ロジックツリー, 分類技法, 構造化思考",マッキンゼー式ロジカルシンキング
23,communication_presentation,結論ファースト・構造化思考,結論ファースト・構造化思考,So What?（だから何？）思考で最も重要なことは？,データを詳細に分析すること,事実から示唆・意味合いを導き出すこと,できるだけ多くの情報を収集すること,専門用語を使って説明すること,事実から示唆・意味合いを導き出すこと,So What?思考では、収集した事実やデータから『だから何が言えるのか』という示唆や意味合いを導き出すことが重要です。単なる情報の羅列ではなく、インサイトを抽出することで価値のある提言になります。,中級,40,"インサイト抽出, 示唆導出, 仮説思考",コンサルティング思考法
24,communication_presentation,結論ファースト・構造化思考,結論ファースト・構造化思考,論理的な文章構成における『帰納法』の特徴は？,一般的な原則から具体的な結論を導く,複数の具体例から一般的な結論を導く,対立する意見を比較検討する,時系列順に事象を整理する,複数の具体例から一般的な結論を導く,帰納法は複数の具体的な事例や観察から、一般的な法則や結論を導き出す論理的推論方法です。演繹法とは逆のアプローチで、パターンを見つけて仮説を立てる際によく使われます。,中級,35,"演繹法, 論理的推論, 仮説構築",論理学基礎テキスト
25,communication_presentation,結論ファースト・構造化思考,結論ファースト・構造化思考,複雑な問題を構造化する際の『イシューツリー』の作成で最も重要なのは？,できるだけ多くの要素を洗い出す,問題の本質的な原因を特定して分解する,過去の成功事例を参考にする,関係者全員の意見を網羅する,問題の本質的な原因を特定して分解する,イシューツリーでは、解決すべき問題の本質を特定し、それを論理的に分解していくことが重要です。量より質を重視し、真の課題解決につながる要素に焦点を当てる必要があります。,上級,45,"イシュー分析, 問題分解, 仮説思考",イシューからはじめよ
26,communication_presentation,資料作成・可視化技術,資料作成・可視化技術,効果的なプレゼンテーション資料作成で最も重要な原則は？,できるだけ多くの情報を一つのスライドに盛り込む,1スライド1メッセージの原則を守る,文字サイズは統一して8pt以下にする,すべてのスライドに会社ロゴを大きく表示する,1スライド1メッセージの原則を守る,効果的な資料作成では「1スライド1メッセージ」の原則が重要です。聞き手が理解しやすく、重要なポイントが明確になり、記憶に残りやすくなります。,基礎,30,"スライド設計, 視覚的表現, 情報整理",プレゼンテーション・ゼン
27,communication_presentation,資料作成・可視化技術,資料作成・可視化技術,データの可視化において最も避けるべき表現は？,棒グラフでの比較表示,円グラフでの構成比表示,3Dグラフによる装飾的表現,折れ線グラフでの推移表示,3Dグラフによる装飾的表現,3Dグラフは見た目は美しいですが、データの正確な読み取りを困難にし、誤解を招く可能性があります。シンプルで正確な2Dグラフの方が効果的です。,中級,35,"データ視覚化, グラフ設計, 認知バイアス",エドワード・タフテ『視覚的表示の理論と実践』
28,communication_presentation,資料作成・可視化技術,資料作成・可視化技術,複雑なデータを分かりやすく伝える際の『階層構造』の活用法は？,すべての詳細を同じレベルで表示する,重要度に応じて情報を段階的に整理する,文字サイズをすべて統一する,色は白黒のみを使用する,重要度に応じて情報を段階的に整理する,階層構造では、情報の重要度に応じてレベル分けし、視覚的にも文字サイズ、色、配置で差をつけることで、聞き手が情報の優先順位を理解しやすくなります。,中級,40,"情報設計, 視覚的階層, 認知負荷",情報デザインの基礎
29,communication_presentation,資料作成・可視化技術,資料作成・可視化技術,インフォグラフィックスで最も効果的な要素の組み合わせは？,文字情報のみで構成する,図表・アイコン・データを統合する,写真だけを多用する,抽象的なデザインを重視する,図表・アイコン・データを統合する,インフォグラフィックスでは、図表、アイコン、データを適切に組み合わせることで、複雑な情報を直感的に理解しやすい形で表現できます。,中級,35,"インフォグラフィックス, 視覚的コミュニケーション, デザイン思考",インフォグラフィックス・デザイン
30,communication_presentation,資料作成・可視化技術,資料作成・可視化技術,ストーリーテリングを活用した資料構成で重要な要素は？,起承転結の論理的な流れ,専門用語を多用した説明,できるだけ多くのデータを提示,時系列を無視した構成,起承転結の論理的な流れ,ストーリーテリングでは起承転結の論理的な流れが重要です。聞き手を引き込み、理解を促進し、記憶に残る資料を作ることができます。,中級,40,"ストーリーテリング, 論理構成, 聴衆エンゲージメント",データストーリー
31,communication_presentation,会議運営・ファシリテーション,会議運営・ファシリテーション,効果的な会議運営で最も重要なことは？,できるだけ多くの参加者を集める,会議の目的とゴールを明確にする,時間を長く取ってじっくり議論する,リーダーが一方的に説明する,会議の目的とゴールを明確にする,効果的な会議では、会議の目的と期待する成果を事前に明確にし、参加者全員が共通理解を持つことが重要です。これにより集中した議論が可能になります。,基礎,30,"会議設計, 目的設定, コミュニケーション",効果的会議の進め方
32,communication_presentation,会議運営・ファシリテーション,会議運営・ファシリテーション,ファシリテーターの最も重要な役割は？,自分の意見を積極的に主張する,参加者が対話しやすい環境を作る,結論を事前に決めておく,反対意見を抑える,参加者が対話しやすい環境を作る,ファシリテーターの主な役割は、参加者が安心して発言でき、建設的な対話が生まれる環境を作ることです。中立的な立場でプロセスを管理します。,基礎,35,"ファシリテーションスキル, 心理的安全性, 対話促進",ファシリテーション・グラフィック
33,communication_presentation,会議運営・ファシリテーション,会議運営・ファシリテーション,会議で発言が偏る参加者がいる場合の効果的な対応は？,発言しない人を名指しで意見を求める,ラウンドロビン形式で全員から意見を聞く,発言しすぎる人を注意する,発言しない人は無視する,ラウンドロビン形式で全員から意見を聞く,ラウンドロビン形式（順番に発言）で全員から意見を聞くことで、発言の偏りを防ぎ、全員が参加できる会議になります。心理的プレッシャーを与えずに全員の声を聞けます。,中級,40,"ラウンドロビン, インクルージョン, 参加促進",ファシリテーションの技術
34,communication_presentation,会議運営・ファシリテーション,会議運営・ファシリテーション,ブレインストーミングで最も重要なルールは？,アイデアの質を重視して選別する,アイデアを批判せずに量を出す,リーダーが主導してアイデアを出す,実現可能なアイデアのみを出す,アイデアを批判せずに量を出す,ブレインストーミングでは「批判しない」ことが最重要ルールです。アイデアの質より量を優先し、自由な発想を促進することで、創造的なアイデアが生まれやすくなります。,基礎,30,"ブレインストーミング, 創造的思考, アイデア発想",アイデアのつくり方
35,communication_presentation,会議運営・ファシリテーション,会議運営・ファシリテーション,オンライン会議で参加者のエンゲージメントを高める方法は？,カメラをオフにしてリラックスさせる,チャット機能やブレイクアウトルームを活用する,一方的に説明して時間を短縮する,参加者はミュートにしておく,チャット機能やブレイクアウトルームを活用する,オンライン会議では、チャット機能やブレイクアウトルームを活用して、参加者が能動的に参加できる環境を作ることが重要です。オンライン特有の機能を活かしましょう。,中級,35,"オンラインファシリテーション, デジタルツール, リモートコラボレーション",リモートワーク時代の会議術
36,communication_presentation,交渉・説得技術,交渉・説得技術,効果的な交渉の基本スタンスとして最も重要なのは？,相手の弱点を徹底的に攻撃する,互いの真の利益・関心事を理解する,最初に高い条件を提示する,感情的な議論を優先する,互いの真の利益・関心事を理解する,Win-Win交渉では、表面的な要求ではなく、その背景にある真の利益や関心事（真の利害）を理解することが重要です。互いのニーズを満たす創造的な解決策を見つけることで、双方が満足できる結果を生み出せます。,中級,40,"利害関係分析, BATNA, 価値創造",ロジャー・フィッシャー『ハーバード流交渉術』
37,communication_presentation,交渉・説得技術,交渉・説得技術,BATNA（バトナ）の活用で最も重要なポイントは？,交渉相手にBATNAを明かす,交渉前に自分のBATNAを準備しておく,BATNAは使わないで交渉する,相手のBATNAを破壊する,交渉前に自分のBATNAを準備しておく,BATNA（Best Alternative to a Negotiated Agreement）は交渉が成立しなかった場合の最適な代替案です。事前に自分のBATNAを準備しておくことで、交渉力が向上し、冷静な判断ができます。,中級,35,"代替案検討, 交渉力, 意思決定",ハーバード流交渉術
38,communication_presentation,交渉・説得技術,交渉・説得技術,説得コミュニケーションで最も効果的なアプローチは？,ロジック（論理）のみで説得する,エモーション（感情）のみで説得する,ロジックとエモーションをバランスよく組み合わせる,権威を使って強制する,ロジックとエモーションをバランスよく組み合わせる,効果的な説得では、ロジック（論理的な根拠）とエモーション（感情への訴求）を適切に組み合わせることが重要です。相手の状況や性格に合わせてバランスを調整します。,中級,40,"ロジックとエモーション, 説得の心理学, アリストテレスの修辞学",アリストテレス『修辞学』
39,communication_presentation,交渉・説得技術,交渉・説得技術,困難な交渉相手との対話で最も効果的な技法は？,相手の意見を完全に無視する,アクティブリスニングで相手の話を最後まで聞く,感情的に反駁して対立する,すぐに交渉を打ち切る,アクティブリスニングで相手の話を最後まで聞く,困難な相手であっても、アクティブリスニングで相手の話を最後まで聞き、相手の立場や関心事を理解する努力をすることで、信頼関係を築き、解決策を見つける可能性が高まります。,上級,45,"アクティブリスニング, 共感コミュニケーション, 信頼関係構築",難しい交渉を成功させる方法
40,communication_presentation,交渉・説得技術,交渉・説得技術,ステークホルダーとの調整で最も重要なことは？,各ステークホルダーの影響力と関心事を分析する,最も声の大きいステークホルダーのみに集中する,全ステークホルダーを同じ扱いで対応する,ステークホルダーの意見は無視する,各ステークホルダーの影響力と関心事を分析する,効果的なステークホルダー調整では、各ステークホルダーの影響力（権限、リソース）と関心事（ニーズ、期待）を正確に分析し、個別に適切なアプローチを取ることが重要です。,上級,50,"ステークホルダー分析, 影響力マップ, 関係者管理",ステークホルダーエンゲージメント
41,logical_thinking_problem_solving,構造化思考（MECE・ロジックツリー）,構造化思考（MECE・ロジックツリー）,ロジックツリー作成で最も重要な原則は？,できるだけ多くの要素を洗い出す,各レベルでMECE（漏れなく重複なく）を維持する,最初から詳細な分析を行う,結論を先に決めておく,各レベルでMECE（漏れなく重複なく）を維持する,ロジックツリーでは、各レベルでMECE（Mutually Exclusive and Collectively Exhaustive）を維持することが最重要です。これにより、漏れや重複のない網羅的な分析が可能になります。,基礎,30,"MECE, 分解思考, 問題構造化",ロジカルシンキングの技術
42,logical_thinking_problem_solving,構造化思考（MECE・ロジックツリー）,構造化思考（MECE・ロジックツリー）,グループ化する際の『切り口』選択で最も重要なのは？,传統的な分類方法を使う,問題解決の目的に合った切り口を選ぶ,数が均等になるよう分ける,直感的に分かりやすい方法を選ぶ,問題解決の目的に合った切り口を選ぶ,グループ化の切り口は、問題解決の目的や文脈に合わせて選択することが重要です。同じデータでも、分析目的によって最適な切り口が異なります。,中級,35,"分類技法, グルーピング, 目的志向思考",問題解決プロフェッショナル
43,logical_thinking_problem_solving,仮説検証・本質追求,仮説検証・本質追求,仮説思考で最も重要なステップは？,仮説を証明するデータを集める,仮説を反駁する証拠を積極的に探す,仮説を修正せずに維持する,複数の仮説を同時に立てる,仮説を反駁する証拠を積極的に探す,仮説思考では、仮説を支持する証拠だけでなく、積極的に反駁する証拠を探すことが重要です。これにより仮説の妃当性を厳密に検証でき、より確実な結論に達します。,中級,40,"反駁可能性, 検証プロセス, 科学的手法",仮説思考入門
44,logical_thinking_problem_solving,定量分析・統計解析,定量分析・統計解析,統計的有意性と実路的有意性の違いとして正しいのは？,統計的有意性があれば実路的有意性もある,統計的有意性は数学的、実路的有意性はビジネス的判断,両者は同じ意味である,実路的有意性の方が常に正しい,統計的有意性は数学的、実路的有意性はビジネス的判断,統計的有意性は数学的な確率的判断（p値など）であり、実路的有意性はビジネスや実務における意味のある差や影響を示します。統計的に有意でも実路的に意味がない場合もあります。,上級,50,"統計的検定, 効果サイズ, ビジネス判断",ビジネス統計学
45,logical_thinking_problem_solving,行動経済学・意思決定理論,行動経済学・意思決定理論,確証バイアスの影響を最小限にするための方法は？,直感を信じて素早く判断する,事前に仮説を立ててからデータを収集する,反対意見や否定的証拠を積極的に探す,過去の成功例を基準に判断する,反対意見や否定的証拠を積極的に探す,確証バイアスを避けるためには、意識的に反対意見や自分の仮説を否定する証拠を探すことが重要です。これにより、より客観的でバランスの取れた判断が可能になります。,上級,45,"認知バイアス, 批判的思考, 客観的判断",ファスト＆スロー
46,strategy_management,経営戦略・事業戦略,経営戦略・事業戦略,ポーターの五力分析で検討すべき5つの競争要因に含まれないのは？,既存企業間の競争,新参入の脅威,代替品の脅威,政府の規制強化,政府の規制強化,ポーターの五力分析の5つの要因は、①既存企業間の競争、②新参入の脅威、③代替品の脅威、④買い手の交渉力、⑤売り手の交渉力です。政府の規制は別のフレームワークで分析します。,基礎,35,"競争環境分析, 業界構造分析, 戦略フレームワーク",マイケル・ポーター『競争の戦略』
47,strategy_management,経営戦略・事業戦略,経営戦略・事業戦略,ブルーオーシャン戦略の核心となる考え方は？,競合他社を徐々に排除していく,競争のない新しい市場空間を創造する,既存市場でのシェア拡大を目指す,価格競争で勝利する,競争のない新しい市場空間を創造する,ブルーオーシャン戦略は、競争の激しい「レッドオーシャン」を避け、競争のない新しい市場空間「ブルーオーシャン」を創造する戦略です。価値革新とコスト革新を同時に実現します。,中級,40,"価値革新, 市場創造, 差別化戦略",W・チャン・キム『ブルーオーシャン戦略』
48,strategy_management,競争戦略・フレームワーク,競争戦略・フレームワーク,VRIO分析で『持続的競争優位』を判定するために必要な4つの条件とは？,"Value, Rare, Inimitable, Organized","Vision, Resource, Innovation, Operation","Valuable, Risk, Integration, Opportunity","Volume, Revenue, Investment, Outcome","Value, Rare, Inimitable, Organized",VRIO分析は、Value(価値)、Rare(希少性)、Inimitable(模倣困難性)、Organized(組織)の4つの観点から経営資源を分析し、持続的競争優位の源泉を特定するフレームワークです。,中級,35,"経営資源, 競争優位, 核心能力",リソースベースドビュー
49,strategy_management,新事業開発・イノベーション,新事業開発・イノベーション,イノベーションのジレンマで『既存事業を破壊するイノベーション』を何と呼ぶか？,持続的イノベーション,破壊的イノベーション,漸進的イノベーション,革新的イノベーション,破壊的イノベーション,破壊的イノベーションは、既存の市場や企業を根本的に変えてしまうイノベーションです。最初は性能が低くても、やがて主流技術を上回り、市場を置き換えることがあります。,中級,35,"イノベーションのジレンマ, 技術革新, 市場破壊",クレイトン・クリステンセン『イノベーションのジレンマ』
50,strategy_management,ESG・サステナビリティ経営,ESG・サステナビリティ経営,ESG経営において『S（社会）』の要素として重要視されるのは？,CO2排出量の削減,取締役会の独立性,ダイバーシティ＆インクルージョン,コーポレートガバナンス,ダイバーシティ＆インクルージョン,ESGのS（社会）では、ダイバーシティ＆インクルージョン、人権尊重、労働環境改善、地域社会への貢献などが重要視されます。CO2はE（環境）、ガバナンスはGの領域です。,中級,35,"サステナビリティ, SDGs, ステークホルダー資本主義",ESG投資ガイドライン
51,finance,財務分析・企業価値評価,財務分析・企業価値評価,ROA（総資産利益率）が低い原因として最も可能性が高いのは？,売上高の伸びが遅い,資産の効率的活用ができていない,従業員数が不足している,市場シェアが低い,資産の効率的活用ができていない,ROA = 当期純利益 ÷ 総資産で計算されます。ROAが低い場合、保有している資産に対して十分な利益を上げられていない、つまり資産の効率的活用ができていないことを意味します。,中級,40,"資産効率, 収益性分析, 資産ターンオーバー",財務分析ハンドブック
52,finance,財務分析・企業価値評価,財務分析・企業価値評価,流動比率が1.5である企業の状況として最も適切なのは？,短期的な支払い能力に不安がある,短期的な支払い能力は適正レベル,流動資産を過度に保有している,借入金が過大である,短期的な支払い能力は適正レベル,流動比率 = 流動資産 ÷ 流動負債で1.5は一般的に適正レベルとされます（1.2-2.0が目安）。短期的な支払い能力に問題はなく、正常な経営状況を示しています。,中級,35,"流動性分析, 安全性分析, 短期支払能力",企業財務分析
53,finance,投資判断・リスク管理,投資判断・リスク管理,NPV（正味現在価値）法で投資案を評価する際の判断基準は？,NPVがプラスなら投資しない,NPVがゼロなら投資する,NPVがプラスなら投資する,NPVの値に関係なく投資する,NPVがプラスなら投資する,NPVがプラスの場合、その投資は企業価値を向上させることを意味します。ゼロの場合は企業価値に影響なし、マイナスの場合は企業価値を毀損するため投資すべきではありません。,中級,40,"資本予算, 割引現在価値, 投資決定",コーポレートファイナンス
54,finance,事業計画・資金調達,事業計画・資金調達,スタートアップの資金調達で『シリーズA』の特徴として正しいのは？,上場前の最終段階の資金調達,初期段階の小規模な資金調達,事業拡大期の大規模資金調達,プロダクト立上げ後の資金調達,初期段階の小規模な資金調達,シリーズAはスタートアップの初期段階で行われる資金調達で、プロダクト開発や初期のマーケティングのための比較的小規模な資金を調達します。通常、エンジェル投資家やVCから調達します。,中級,35,"ベンチャーキャピタル, エンジェル投資, 資金調達ステージ",スタートアップファイナンス
55,finance,管理会計・KPI設計,管理会計・KPI設計,ABC原価計算の最大のメリットは？,計算が簡単でコストがかからない,間接費をより正確に製品・サービスに配賦できる,伝統的な原価計算と同じ結果が得られる,直接費のみを考慮する,間接費をより正確に製品・サービスに配賦できる,ABC（Activity Based Costing）原価計算は、活動（アクティビティ）を基準に間接費を配賦するため、伝統的な方法よりも正確なコスト情報を提供し、適切な価格設定や收益性分析が可能になります。,上級,45,"アクティビティベースドコスティング, 間接費配賦, 原価管理",管理会計ハンドブック
