category_type,category_id_en,category_name_jp,subcategory_id_en,subcategory_name_jp,display_order,icon,color
industry,si_industry,SI（システムインテグレーション）業界,technical_feasibility,技術的実現性評価,9,🖥️,#0EA5E9
industry,si_industry,SI（システムインテグレーション）業界,legacy_integration,レガシーシステム連携,10,🖥️,#0EA5E9
industry,si_industry,SI（システムインテグレーション）業界,technical_sales,技術営業・提案活動,11,🖥️,#0EA5E9
industry,si_industry,SI（システムインテグレーション）業界,customer_requirement,顧客要求分析,12,🖥️,#0EA5E9
industry,si_industry,SI（システムインテグレーション）業界,long_term_partnership,長期パートナーシップ構築,13,🖥️,#0EA5E9
industry,si_industry,SI（システムインテグレーション）業界,contract_pricing,契約形態・価格設定戦略,14,🖥️,#0EA5E9
industry,trading_company_industry,商社業界,commodity_market_analysis,商品知識・市場分析,1,🌐,#059669
industry,trading_company_industry,商社業界,commodity_derivatives,商品先物・デリバティブ活用,2,🌐,#059669
industry,trading_company_industry,商社業界,price_negotiation_hedge,価格交渉・リスクヘッジ,3,🌐,#059669
industry,trading_company_industry,商社業界,quality_inspection_insurance,品質管理・検査・保険,4,🌐,#059669
industry,trading_company_industry,商社業界,new_business_development,新規事業開拓,5,🌐,#059669
industry,trading_company_industry,商社業界,investment_participation,出資先企業経営参画,6,🌐,#059669
industry,trading_company_industry,商社業界,portfolio_management,事業ポートフォリオ管理,7,🌐,#059669
industry,trading_company_industry,商社業界,overseas_market_development,海外市場開拓,8,🌐,#059669
industry,trading_company_industry,商社業界,multilateral_trade,多国間三国間取引,9,🌐,#059669
industry,trading_company_industry,商社業界,cross_cultural_communication,異文化コミュニケーション,10,🌐,#059669
industry,trading_company_industry,商社業界,local_subsidiary_management,現地法人運営,11,🌐,#059669
industry,trading_company_industry,商社業界,trade_finance,貿易ファイナンス,12,🌐,#059669
industry,trading_company_industry,商社業界,trade_finance_structuring,トレードファイナンス組成,13,🌐,#059669
industry,trading_company_industry,商社業界,fx_interest_rate_risk,為替・金利リスク管理,14,🌐,#059669
industry,trading_company_industry,商社業界,country_risk_analysis,カントリーリスク分析,15,🌐,#059669
